Ano;Ativos;Desp_Liq
1998;513.720;12,65 
1999;497.125;14,91 
2000;486.912;16,22 
2001;485.303;17,19 
2002;485.741;19,65 
2003;485.980;20,63 
2004;499.138;25,72 
2005;508.963;26,49 
2006;528.124;30,81 
2007;528.320;35,23 
2008;545.241;40,96 
2009;562.264;48,62 
2010;580.352;55,59 
2011;585.119;60,29 
2012;590.843;62,19 
2013;602.695;68,64 
2014;624.095;74,15 
2015;627.427;80,57 
2016;632.485;83,53 
2017;634.157;92,50 
2018;630.689;93,88 
2019;607.833;94,24 
2020;599.852;94,09 
2021;583.674;95,61 
